"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.60e+07 100 %,2.60e+07 100 %,1.31e+08 100 %,1.31e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.60e+07 100 %,,1.31e+08 100 %,,1.04e+06 100 %,
"main",2.60e+07 100 %,2.40e+07 92.3%,1.31e+08 100 %,1.21e+08 91.9%,1.04e+06 100 %,9.89e+05 95.4%
"loop at stream.c: 308",2.40e+07 92.3%,,1.21e+08 91.9%,,9.26e+05 89.4%,
"loop at stream.c: 335",1.20e+07 46.2%,1.20e+07 46.2%,6.39e+07 48.6%,6.39e+07 48.6%,2.24e+05 21.6%,2.24e+05 21.6%
"stream.c: 336",1.20e+07 46.2%,1.20e+07 46.2%,6.39e+07 48.6%,6.39e+07 48.6%,1.92e+05 18.5%,1.92e+05 18.5%
"stream.c: 335",,,,,3.20e+04  3.1%,3.20e+04  3.1%
"loop at stream.c: 345",6.00e+06 23.1%,6.00e+06 23.1%,2.94e+07 22.4%,2.94e+07 22.4%,2.56e+05 24.6%,2.56e+05 24.6%
"stream.c: 346",6.00e+06 23.1%,6.00e+06 23.1%,2.94e+07 22.4%,2.94e+07 22.4%,2.16e+05 20.8%,2.16e+05 20.8%
"stream.c: 345",,,,,3.99e+04  3.9%,3.99e+04  3.9%
"loop at stream.c: 315",4.00e+06 15.4%,4.00e+06 15.4%,1.78e+07 13.5%,1.78e+07 13.5%,2.24e+05 21.6%,2.24e+05 21.6%
"stream.c: 315",2.00e+06  7.7%,2.00e+06  7.7%,9.41e+06  7.2%,9.41e+06  7.2%,1.36e+05 13.1%,1.36e+05 13.1%
"stream.c: 316",2.00e+06  7.7%,2.00e+06  7.7%,8.36e+06  6.4%,8.36e+06  6.4%,8.78e+04  8.5%,8.78e+04  8.5%
"loop at stream.c: 325",2.00e+06  7.7%,2.00e+06  7.7%,9.81e+06  7.5%,9.81e+06  7.5%,2.24e+05 21.6%,2.24e+05 21.6%
"stream.c: 326",2.00e+06  7.7%,2.00e+06  7.7%,9.81e+06  7.5%,9.81e+06  7.5%,2.00e+05 19.3%,2.00e+05 19.3%
"stream.c: 325",,,,,2.40e+04  2.3%,2.40e+04  2.3%
"checkSTREAMresults",2.00e+06  7.7%,2.00e+06  7.7%,1.06e+07  8.1%,1.06e+07  8.1%,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",2.00e+06  7.7%,2.00e+06  7.7%,1.06e+07  8.1%,1.06e+07  8.1%,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 464",2.00e+06  7.7%,2.00e+06  7.7%,1.06e+07  8.1%,1.06e+07  8.1%,2.37e+04  2.3%,2.37e+04  2.3%
"stream.c: 465",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"stream.c: 466",,,,,7.98e+03  0.8%,7.98e+03  0.8%
"loop at stream.c: 269",,,,,3.87e+04  3.7%,3.87e+04  3.7%
"stream.c: 269",,,,,7.17e+03  0.7%,7.17e+03  0.7%
"stream.c: 270",,,,,8.07e+03  0.8%,8.07e+03  0.8%
"stream.c: 271",,,,,1.59e+04  1.5%,1.59e+04  1.5%
"stream.c: 272",,,,,7.62e+03  0.7%,7.62e+03  0.7%
"loop at stream.c: 288",,,,,2.40e+04  2.3%,2.40e+04  2.3%
"stream.c: 289",,,,,2.40e+04  2.3%,2.40e+04  2.3%
