"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.40e+07 100 %,2.40e+07 100 %,1.24e+08 100 %,1.24e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.40e+07 100 %,,1.24e+08 100 %,,1.04e+06 100 %,
"main",2.40e+07 100 %,2.40e+07 100 %,1.24e+08 100 %,1.24e+08 100 %,1.04e+06 100 %,9.96e+05 95.4%
"loop at stream.c: 308",2.40e+07 100 %,,1.24e+08 100 %,,9.26e+05 88.8%,
"loop at stream.c: 335",1.20e+07 50.0%,1.20e+07 50.0%,6.52e+07 52.4%,6.52e+07 52.4%,2.32e+05 22.2%,2.32e+05 22.2%
"stream.c: 336",8.00e+06 33.3%,8.00e+06 33.3%,4.45e+07 35.8%,4.45e+07 35.8%,1.60e+05 15.3%,1.60e+05 15.3%
"stream.c: 335",4.00e+06 16.7%,4.00e+06 16.7%,2.07e+07 16.6%,2.07e+07 16.6%,7.19e+04  6.9%,7.19e+04  6.9%
"loop at stream.c: 345",6.00e+06 25.0%,6.00e+06 25.0%,3.00e+07 24.1%,3.00e+07 24.1%,2.48e+05 23.7%,2.48e+05 23.7%
"stream.c: 346",6.00e+06 25.0%,6.00e+06 25.0%,3.00e+07 24.1%,3.00e+07 24.1%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 345",,,,,2.40e+04  2.3%,2.40e+04  2.3%
"loop at stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.91e+07 15.4%,1.91e+07 15.4%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.91e+07 15.4%,1.91e+07 15.4%,1.20e+05 11.5%,1.20e+05 11.5%
"stream.c: 316",,,,,1.04e+05 10.0%,1.04e+05 10.0%
"loop at stream.c: 325",2.00e+06  8.3%,2.00e+06  8.3%,1.01e+07  8.1%,1.01e+07  8.1%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 326",2.00e+06  8.3%,2.00e+06  8.3%,1.01e+07  8.1%,1.01e+07  8.1%,2.16e+05 20.7%,2.16e+05 20.7%
"stream.c: 325",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 464",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"stream.c: 465",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"stream.c: 466",,,,,1.57e+04  1.5%,1.57e+04  1.5%
"loop at stream.c: 269",,,,,4.56e+04  4.4%,4.56e+04  4.4%
"stream.c: 272",,,,,4.56e+04  4.4%,4.56e+04  4.4%
"loop at stream.c: 288",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 289",,,,,2.39e+04  2.3%,2.39e+04  2.3%
